allocine_id,titre,annee,acteur
50986,Zatoichi,2003,Michiyo Ogusu
47139,Les Sentiments,2003,Jean-Pierre Bacri
47139,Les Sentiments,2003,Nathalie Baye
47139,Les Sentiments,2003,Isabelle Carré
48272,Mauvais esprit,2003,Audrey Langle
48272,Mauvais esprit,2003,Thierry Lhermitte
48272,Mauvais esprit,2003,Ophélie Winter
28960,Frères du désert,2003,Heath Ledger
28960,Frères du désert,2003,Djimon Hounsou
28960,Frères du désert,2003,Kate Hudson
1937,Bye Bye Africa,2003,Mahamat-Saleh Haroun
1937,Bye Bye Africa,2003,Garba Issa
34887,Lovely Rita,2003,Barbara Osika
34887,Lovely Rita,2003,Christoph Bauer
34887,Lovely Rita,2003,Peter Fiala
50455,Le Serviteur de Kali,2003,Oduvil Unnikrishnan
50455,Le Serviteur de Kali,2003,Murali
50455,Le Serviteur de Kali,2003,Nedumudy Venu
45195,Oasiseu,2003,Kyung-Gu Sol
45195,Oasiseu,2003,Sori Moon
45195,Oasiseu,2003,Ahn Nae-Sang
38267,Amours troubles,2003,Ben Affleck
38267,Amours troubles,2003,Jennifer Lopez
38267,Amours troubles,2003,Justin Bartha
45688,Souviens-toi de moi,2003,Monica Bellucci
45688,Souviens-toi de moi,2003,Fabrizio Bentivoglio
45688,Souviens-toi de moi,2003,Laura Morante
33964,Laurier blanc,2003,Alison Lohman
33964,Laurier blanc,2003,Michelle Pfeiffer
33964,Laurier blanc,2003,Renée Zellweger
49127,Histoire de Marie et Julien,2003,Anne Brochet
49127,Histoire de Marie et Julien,2003,Emmanuelle Béart
49127,Histoire de Marie et Julien,2003,Jerzy Radziwilowicz
52624,Pas de repos pour les braves,2003,Thomas Suire
52624,Pas de repos pour les braves,2003,Laurent Soffiati
52624,Pas de repos pour les braves,2003,Thomas Blanchard
29247,Les marins perdus,2003,Bernard Giraudeau
29247,Les marins perdus,2003,Marie Trintignant
29247,Les marins perdus,2003,Audrey Tautou
46549,La Petite prairie aux bouleaux,2003,Anouk Aimée
46549,La Petite prairie aux bouleaux,2003,August Diehl
46549,La Petite prairie aux bouleaux,2003,Zbigniew Zamachowski
45653,"La Felicita, le bonheur ne coûte rien",2003,Mimmo Calopresti
45653,"La Felicita, le bonheur ne coûte rien",2003,Francesca Neri
45653,"La Felicita, le bonheur ne coûte rien",2003,Vincent Perez
47605,Mister V.,2003,Fabien Ruiz
47605,Mister V.,2003,Pierre Sénélas
47605,Mister V.,2003,Mathieu Demy
16772,La Délation sous l'Occupation,2003,La Délation sous l'Occupation
16772,La Délation sous l'Occupation,2003,André Halimi réalise son deuxième documentaire ayant pour cadre la France de l'Occupation
16772,La Délation sous l'Occupation,2003,le premier étant Chantons sous l'Occupation (1976) sur l'attitude des artistes français en temps de guerre.
46953,Il derviscio,2003,Antonio Buil
46953,Il derviscio,2003,Cezmi Baskın
46953,Il derviscio,2003,Haldun Boysan
28430,Intolérable cruauté,2003,George Clooney
28430,Intolérable cruauté,2003,Catherine Zeta-Jones
28430,Intolérable cruauté,2003,Geoffrey Rush
45667,Michel Vaillant,2003,Sagamore Stévenin
45667,Michel Vaillant,2003,Peter Youngblood Hills
