allocine_id,titre,titre_original,annee,tmdb_id,imdb_id,tmdb_titre,tmdb_titre_original,tmdb_annee,match_score,match_type
6179,Mo' better blues,"",1990,41823,tt0100168,Mo' Better Blues,Mo' Better Blues,1990,1,excellent
6178,Un Thé au Sahara,The Sheltering Sky,1990,24016,tt0100594,Un thé au Sahara,The Sheltering Sky,1990,1,excellent
54970,Delta Force 2,Delta Force 2: Operation Stranglehold,1990,19086,tt0099399,Delta Force 2,Delta Force 2: The Colombian Connection,1990,1,excellent
5484,La Ville Louvre,"",1990,150873,tt0100872,La Ville Louvre,La Ville Louvre,1990,1,excellent
6200,Pretty Woman,"",1990,114,tt0100405,Pretty Woman,Pretty Woman,1990,1,excellent
18115,La Petite Sirène,The Little Mermaid,1990,10144,tt0097757,La Petite Sirène,The Little Mermaid,1989,0.96,excellent
74517,L'Enfant miroir,The Reflecting Skin,1990,21168,tt0100469,L'Enfant miroir,The Reflecting Skin,1990,1,excellent
45522,Dancing Machine,"",1990,59259,tt0099351,Dancing Machine,Dancing Machine,1990,1,excellent
6201,Echos d'un sombre empire,Echos aus einem düsteren Reich,1990,121842,tt0162941,Échos d'un sombre empire,Echos aus einem düsteren Reich,1990,1,excellent
170698,La Fille du magicien,"",1990,569317,tt0099570,La Fille du magicien,La Fille du magicien,1990,1,excellent
30718,Printemps perdu,"",1990,388514,tt0129321,Printemps perdu,Printemps perdu,1990,1,excellent
6207,Pump up the Volume,"",1990,8428,tt0100436,Pump Up the Volume,Pump Up the Volume,1990,1,excellent
32553,La Boutique de l'orfèvre,La bottega dell'orefice,1990,,"","","",,,aucun
6210,Tante Julia et le scribouillard,Tune in Tomorrow...,1990,41927,tt0100822,Tante Julia et le scribouillard,Tune in Tomorrow...,1990,1,excellent
40147,Les Tortues Ninja,Teenage Mutant Ninja Turtles,1990,1498,tt0100758,Les Tortues Ninja,Teenage Mutant Ninja Turtles,1990,1,excellent
6263,Uranus,"",1990,41930,tt0100851,Uranus,Uranus,1990,1,excellent
5821,Step Across the Border,"",1990,112785,tt0100692,Step Across the Border,Step Across the Border,1990,1,excellent
